    #,   Gonio_Y, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, -1.01345997,        0,    56864,   1.0000,    60538,    59553,     0000,        0,        0,        0,        1,   104300,   103853,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, -0.963167969,        0,    56704,   1.0000,    60518,    59500,     0000,        0,        0,        0,        2,   104264,   103848,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, -0.914399971,        0,    56675,   1.0000,    60510,    59555,     0000,        0,        0,        0,        0,   104399,   103751,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, -0.864107972,        0,    56736,   1.0000,    60590,    59550,     0000,        0,        0,        0,        0,   104337,   103914,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, -0.813815974,        0,    56656,   1.0000,    60500,    59323,     0000,        0,        0,        0,        1,   104192,   103805,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, -0.763523976,        0,    56570,   1.0000,    60402,    59493,     0000,        0,        0,        0,        1,   104078,   103571,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, -0.713231977,        0,    56631,   1.0000,    60449,    59366,     0000,        0,        0,        0,        0,   104130,   103655,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, -0.664463979,        0,    56569,   1.0000,    60385,    59478,     0000,        0,        0,        0,        1,   104184,   103461,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, -0.61417198,        0,    56650,   1.0000,    60469,    59496,     0000,        0,        0,        0,        1,   104283,   103638,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, -0.563879982,        0,    56662,   1.0000,    60490,    59453,     0000,        0,        0,        0,        0,   104258,   103635,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, -0.513587984,        0,    56662,   1.0000,    60492,    59545,     0000,        0,        0,        0,        1,   104204,   103730,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, -0.463295985,        0,    56686,   1.0000,    60499,    59461,     0000,        0,        0,        0,        0,   104158,   103749,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, -0.414527987,        0,    56639,   1.0000,    60454,    59432,     0000,        0,        0,        0,        0,   104103,   103687,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, -0.364235988,        0,    56608,   1.0000,    60428,    59278,     0000,        0,        0,        0,        1,   104049,   103658,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, -0.31394399,        0,    56542,   1.0000,    60357,    59448,     0000,        0,        0,        0,        0,   104029,   103560,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, -0.263651992,        0,    56590,   1.0000,    60413,    59364,     0000,        0,        0,        0,        1,   103944,   103691,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, -0.213359993,        0,    56535,   1.0000,    60364,    59413,     0000,        0,        0,        0,        1,   103801,   103578,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, -0.164591995,        0,    56546,   1.0000,    60371,    59305,     0000,        0,        0,        0,        3,   103812,   103601,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, -0.114299996,        0,    56532,   1.0000,    60346,    59369,     0000,        0,        0,        0,        0,   103739,   103543,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, -0.064007998,        0,    56584,   1.0000,    60391,    59361,     0000,        0,        0,        0,        1,   103903,   103636,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, -0.0137159996,        0,    56552,   1.0000,    60382,    58895,     0000,        0,        0,        0,        1,   103908,   103580,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21, 0.0365759988,        0,    56528,   1.0000,    60343,    56985,     0000,        0,        0,        0,        0,   103729,   103587,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22, 0.0868679972,        0,    56576,   1.0000,    60400,    52540,     0000,        0,        0,        0,        2,   103876,   103615,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23, 0.135635996,        2,    56555,   1.0000,    60372,    46566,     0000, 3.5363805e-05,        0,        0,        3,   103908,   103621,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24, 0.185927994,        0,    56583,   1.0000,    60394,    41774,     0000,        0,        0,        0,        0,   103902,   103624,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25, 0.236219992,        0,    56522,   1.0000,    60331,    37109,     0000,        0,        0,        0,        0,   103811,   103495,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   26, 0.286511991,        1,    56463,   1.0000,    60262,    30541,     0000, 1.7710713e-05,        0,        0,        2,   103643,   103411,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   27, 0.336803989,        0,    56423,   1.0000,    60221,    23466,     0000,        0,        0,        0,        1,   103655,   103274,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   28, 0.385571988,        0,    56445,   1.0000,    60235,    18150,     0000,        0,        0,        0,        2,   103628,   103382,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   29, 0.435863986,        0,    56500,   1.0000,    60297,    15782,     0000,        0,        0,        0,        0,   103745,   103374,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   30, 0.486155984,        0,    56524,   1.0000,    60317,    15457,     0000,        0,        0,        0,        1,   103795,   103393,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   31, 0.536447983,        0,    56550,   1.0000,    60349,    16339,     0000,        0,        0,        0,        2,   103826,   103382,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   32, 0.586739981,        0,    56527,   1.0000,    60342,    19225,     0000,        0,        0,        0,        1,   103848,   103371,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   33, 0.63550798,        0,    56543,   1.0000,    60361,    24596,     0000,        0,        0,        0,        0,   103879,   103356,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   34, 0.685799978,        0,    56566,   1.0000,    60357,    31512,     0000,        0,        0,        0,        0,   103933,   103334,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   35, 0.736091976,        0,    56584,   1.0000,    60372,    36437,     0000,        0,        0,        0,        0,   103864,   103471,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   36, 0.786383975,        0,    56511,   1.0000,    60318,    41857,     0000,        0,        0,        0,        1,   103762,   103367,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   37, 0.836675973,        0,    56468,   1.0000,    60289,    48237,     0000,        0,        0,        0,        0,   103712,   103367,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   38, 0.885443972,        0,    56497,   1.0000,    60311,    53917,     0000,        0,        0,        0,        2,   103680,   103386,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   39, 0.93573597,        0,    56514,   1.0000,    60321,    58232,     0000,        0,        0,        0,        0,   103811,   103355,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   40, 0.986027968,        0,    56559,   1.0000,    60371,    59255,     0000,        0,        0,        0,        1,   103937,   103381,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   41, 1.03631997,        0,    56494,   1.0000,    60305,    59281,     0000,        0,        0,        0,        0,   103829,   103350,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   42, 1.08661197,        0,    56503,   1.0000,    60306,    59314,     0000,        0,        0,        0,        1,   103861,   103390,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   43, 1.13690396,        0,    56496,   1.0000,    60287,    59225,     0000,        0,        0,        0,        1,   103859,   103422,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   44, 1.18567196,        0,    56438,   1.0000,    60235,    59208,     0000,        0,        0,        0,        0,   103801,   103329,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   45, 1.23596396,        0,    56475,   1.0000,    60266,    59322,     0000,        0,        0,        0,        1,   103916,   103430,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   46, 1.28625596,        0,    56514,   1.0000,    60309,    59354,     0000,        0,        0,        0,        1,   104005,   103450,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   47, 1.33654796,        0,    56545,   1.0000,    60343,    59334,     0000,        0,        0,        0,        1,   103976,   103497,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   48, 1.38683996,        0,    56525,   1.0000,    60325,    59282,     0000,        0,        0,        0,        0,   103922,   103584,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   49, 1.43560795,        0,    56505,   1.0000,    60293,    59324,     0000,        0,        0,        0,        1,   103805,   103598,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   50, 1.48589995,        0,    56498,   1.0000,    60296,    59297,     0000,        0,        0,        0,        0,   103890,   103538,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   51, 1.53619195,        0,    56518,   1.0000,    60326,    59308,     0000,        0,        0,        0,        0,   103908,   103576,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   52, 1.58648395,        0,    56521,   1.0000,    60319,    59289,     0000,        0,        0,        0,        1,   103896,   103643,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   53, 1.63677595,        0,    56492,   1.0000,    60288,    59161,     0000,        0,        0,        0,        1,   103808,   103563,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   54, 1.68554395,        0,    56416,   1.0000,    60207,    59250,     0000,        0,        0,        0,        0,   103710,   103472,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   55, 1.73583594,        1,    56447,   1.0000,    60230,    59258,     0000, 1.7715733e-05,        0,        0,        1,   103819,   103430,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   56, 1.78612794,        0,    56484,   1.0000,    60290,    59257,     0000,        0,        0,        0,        2,   104012,   103449,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   57, 1.83641994,        0,    56453,   1.0000,    60257,    59326,     0000,        0,        0,        0,        0,   103837,   103418,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   58, 1.88671194,        0,    56498,   1.0000,    60309,    59312,     0000,        0,        0,        0,        0,   103841,   103513,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   59, 1.93547994,        0,    56474,   1.0000,    60272,    59320,     0000,        0,        0,        0,        0,   103809,   103430,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   60, 1.98577194,        0,    56511,   1.0000,    60312,    59302,     0000,        0,        0,        0,        1,   103932,   103560,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
