    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,         3,        0,   226903,   2.0000,   242408,      188,     0000,        0,        0,        0,        0,   210434,   209317,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,     4.005,        2,   234819,   2.0727,   251070,      195,     0000, 8.5171984e-06,        0,        0,        3,   217566,   217144,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,      5.01,        0,   243045,   2.1455,   259881,      203,     0000,        0,        0,        0,        2,   225158,   224684,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,     6.015,        0,   251274,   2.2182,   268637,      212,     0000,        0,        0,        0,        2,   232769,   232140,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,      7.02,        1,   259620,   2.2909,   277519,      221,     0000, 3.8517834e-06,        0,        0,        2,   240655,   239680,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,     8.025,        0,   267928,   2.3636,   286409,      227,     0000,        0,        0,        0,        1,   248377,   247710,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,      9.03,        3,   275853,   2.4364,   294920,      235,     0000, 1.0875358e-05,        0,        0,        3,   255956,   255307,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    10.035,        0,   284091,   2.5091,   303762,      239,     0000,        0,        0,        0,        0,   263931,   262756,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,     11.04,        1,   292533,   2.5818,   312809,      247,     0000, 3.4184178e-06,        0,        0,        1,   271939,   270715,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    12.045,        1,   300258,   2.6545,   321022,      254,     0000, 3.3304691e-06,        0,        0,        2,   278924,   278106,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10,     13.05,        1,   308722,   2.7273,   330038,      262,     0000, 3.2391602e-06,        0,        0,        5,   287017,   285732,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11,    14.055,        1,   316686,   2.8000,   338560,      268,     0000, 3.157702e-06,        0,        0,        3,   294138,   293649,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12,     15.06,        0,   325364,   2.8727,   347852,      277,     0000,        0,        0,        0,        2,   302572,   301129,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13,    16.065,        2,   333008,   2.9455,   356056,      285,     0000, 6.0058617e-06,        0,        0,        4,   309696,   308408,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14,     17.07,        0,   341745,   3.0182,   365377,      294,     0000,        0,        0,        0,        2,   317850,   316346,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15,    18.075,        2,   349754,   3.0909,   373989,      300,     0000, 5.7183049e-06,        0,        0,        6,   325262,   323776,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16,     19.08,        1,   357781,   3.1636,   382521,      306,     0000, 2.7950059e-06,        0,        0,        3,   332381,   331517,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17,    20.085,        0,   365865,   3.2364,   391122,      312,     0000,        0,        0,        0,        1,   339758,   338991,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18,     21.09,        1,   374045,   3.3091,   399930,      319,     0000, 2.6734751e-06,        0,        0,        3,   347300,   346605,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19,    22.095,        0,   383492,   3.3818,   410005,      326,     0000,        0,        0,        0,        3,   355990,   355237,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20,      23.1,        3,   394356,   3.4545,   421597,      332,     0000, 7.6073396e-06,        0,        0,        5,   366337,   364782,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21,    24.105,        2,   403598,   3.5273,   431532,      338,     0000, 4.9554259e-06,        0,        0,        6,   374466,   374119,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22,     25.11,        0,   411776,   3.6000,   440220,      346,     0000,        0,        0,        0,        0,   381992,   381612,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23,    26.115,        0,   420014,   3.6727,   449101,      350,     0000,        0,        0,        0,        0,   389962,   389000,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24,     27.12,        1,   428276,   3.7455,   457967,      358,     0000, 2.3349429e-06,        0,        0,        2,   397765,   396927,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25,    28.125,        2,   436100,   3.8182,   466303,      366,     0000, 4.5861041e-06,        0,        0,        3,   405261,   404030,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   26,     29.13,        1,   444445,   3.8909,   475282,      371,     0000, 2.2499972e-06,        0,        0,        3,   413030,   411500,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   27,    30.135,        0,   452640,   3.9636,   483948,      376,     0000,        0,        0,        0,        3,   420091,   418969,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
