    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,        -1,        1,       10,   1.0000,   112136,       88,     1011, 44241.339,        0,        0,        2,    98726,    98512,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, -0.980000001,        0,       10,   1.0000,   111966,       88,     1011,        0,        0,        0,        1,    98584,    98331,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, -0.960000001,        0,       11,   1.0000,   111773,       87,     1011,        0,        0,        0,        0,    98389,    98205,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, -0.940000001,        0,       11,   1.0000,   111927,       88,     1011,        0,        0,        0,        0,    98619,    98179,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, -0.920000001,        1,       11,   1.0000,   112031,       87,     1011, 40219.399,        0,        0,        2,    98743,    98227,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, -0.900000001,        0,       11,   1.0000,   111966,       87,     1011,        0,        0,        0,        1,    98630,    98207,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, -0.880000001,        0,       10,   1.0000,   111971,       88,     1011,        0,        0,        0,        0,    98684,    98143,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, -0.860000001,        0,       10,   1.0000,   112142,       87,     1011,        0,        0,        0,        0,    98837,    98228,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, -0.840000001,        0,       10,   1.0000,   112102,       87,     1011,        0,        0,        0,        1,    98812,    98158,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, -0.820000001,        0,       11,   1.0000,   111872,       87,     1011,        0,        0,        0,        1,    98555,    98030,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, -0.800000001,        0,       11,   1.0000,   111892,       87,     1011,        0,        0,        0,        1,    98497,    98121,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, -0.780000001,        0,       11,   1.0000,   111819,       88,     1011,        0,        0,        0,        1,    98327,    98212,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, -0.760000001,        0,       11,   1.0000,   111780,       87,     1011,        0,        0,        0,        0,    98299,    98132,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, -0.740000001,        0,       12,   1.0000,   112011,       88,     1011,        0,        0,        0,        1,    98506,    98268,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, -0.720000001,        0,       11,   1.0000,   111828,       87,     1011,        0,        0,        0,        0,    98343,    98145,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, -0.700000001,        1,       10,   1.0000,   111723,       88,     1011, 44241.339,        0,        0,        2,    98213,    98076,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, -0.680000001,        0,       12,   1.0000,   111797,       88,     1011,        0,        0,        0,        0,    98282,    98137,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, -0.660000001,        0,       12,   1.0000,   111869,       88,     1011,        0,        0,        0,        0,    98399,    98059,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, -0.640000001,        0,       11,   1.0000,   111738,       88,     1011,        0,        0,        0,        0,    98244,    98005,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, -0.620000001,        0,       11,   1.0000,   111868,       87,     1011,        0,        0,        0,        2,    98324,    98095,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, -0.600000001,        0,       12,   1.0000,   112040,       87,     1011,        0,        0,        0,        0,    98517,    98186,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21, -0.580000001,        0,       11,   1.0000,   111994,       88,     1011,        0,        0,        0,        0,    98489,    98166,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22, -0.560000001,        0,       11,   1.0000,   111878,       88,     1011,        0,        0,        0,        0,    98505,    97908,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23, -0.540000001,        0,       10,   1.0000,   111951,       88,     1011,        0,        0,        0,        0,    98608,    97916,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24, -0.520000001,        0,       11,   1.0000,   111923,       88,     1011,        0,        0,        0,        0,    98482,    97982,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25, -0.500000001,        0,       11,   1.0000,   111936,       88,     1011,        0,        0,        0,        0,    98479,    98016,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   26, -0.480000001,        0,       11,   1.0000,   111921,       88,     1011,        0,        0,        0,        1,    98453,    98012,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   27, -0.460000001,        0,       10,   1.0000,   111836,       89,     1011,        0,        0,        0,        1,    98359,    98006,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   28, -0.440000001,        0,        9,   1.0000,   111796,       88,     1011,        0,        0,        0,        0,    98220,    98040,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   29, -0.420000001,        0,       10,   1.0000,   111903,       88,     1011,        0,        0,        0,        1,    98362,    98023,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   30, -0.400000001,        0,       10,   1.0000,   111923,       88,     1011,        0,        0,        0,        2,    98381,    98006,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   31, -0.380000001,        1,       11,   1.0000,   111947,       88,     1011, 40219.399,        0,        0,        2,    98283,    98143,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   32, -0.360000001,        0,       10,   1.0000,   111980,       88,     1011,        0,        0,        0,        0,    98338,    98088,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   33, -0.340000001,        0,       10,   1.0000,   111805,       87,     1011,        0,        0,        0,        0,    98141,    97978,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   34, -0.320000001,        0,       10,   1.0000,   111681,       88,     1011,        0,        0,        0,        1,    98083,    97809,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   35, -0.300000001,        1,       10,   1.0000,   111713,       88,     1011, 44241.339,        0,        0,        1,    98152,    97785,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   36, -0.280000001,        0,       10,   1.0000,   111770,       88,     1011,        0,        0,        0,        2,    98242,    97780,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   37, -0.260000001,        1,       10,   1.0000,   111822,       88,     1011, 44241.339,        0,        0,        1,    98207,    97909,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   38, -0.240000001,        0,       13,   1.0000,   111803,       88,     1011,        0,        0,        0,        0,    98214,    97855,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   39, -0.220000001,        0,       14,   1.0000,   111849,       88,     1011,        0,        0,        0,        0,    98264,    97862,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   40, -0.200000001,        0,       15,   1.0000,   111824,       88,     1011,        0,        0,        0,        1,    98155,    97897,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   41, -0.180000001,        0,       15,   1.0000,   111640,       88,     1011,        0,        0,        0,        0,    98008,    97707,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   42, -0.160000001,        0,       15,   1.0000,   111520,       88,     1011,        0,        0,        0,        0,    97871,    97598,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   43, -0.140000001,        1,       14,   1.0000,   111601,       88,     1011, 31600.957,        0,        0,        1,    97969,    97587,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   44, -0.120000001,        0,       11,   1.0000,   111593,       87,     1011,        0,        0,        0,        0,    97982,    97514,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   45, -0.100000001,        0,       11,   1.0000,   111680,       88,     1011,        0,        0,        0,        0,    98053,    97616,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   46, -0.0800000012,        1,       11,   1.0000,   111591,       88,     1011, 40219.399,        0,        0,        2,    97972,    97539,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   47, -0.0600000013,        0,       10,   1.0000,   111470,       88,     1011,        0,        0,        0,        1,    97852,    97422,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   48, -0.0400000013,        0,       11,   1.0000,   111425,       88,     1011,        0,        0,        0,        0,    97790,    97358,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   49, -0.0200000012,        0,       10,   1.0000,   111625,       88,     1011,        0,        0,        0,        0,    97995,    97480,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
